Integrated Total Factor Productivity* (2012=100),Production Account,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Farms,111CA,76.11,71.842,75.912,79.112,79.772,85.563,81.694,90.139,82.043,87.938,92.699,91.313,90.342,96.888,95.187,97.53,101.66,103.22,107.533,106.491,99.581,100.933,106.268,104.826,102.02,100,105.911,104.557,108.434,111.382,110.558,112.233,108.486,115.402
"Forestry, fishing, and related activities",113FF,129.516,119.514,118.612,116.936,117.212,113.068,103.52,106.521,100.573,98.199,96.167,96.618,97.48,99.012,107.416,109.265,111.118,110.488,109.029,107.27,99.955,100.615,102.504,98.168,97.377,100,95.418,94.52,93.88,94.261,96.721,97.735,98.067,105.89
Oil and gas extraction,211,82.796,86.91,82.589,80.389,82.151,80.191,81.493,86.97,92.952,86.473,87.102,87.789,84.603,75.171,81.685,89.213,79.605,78.8,78.637,85.282,89.811,85.705,106.232,91.41,90.138,100,102.313,108.658,127.619,134.954,135.438,129.525,140.72,143.926
"Mining, except oil and gas",212,83.269,91.802,92.769,94.915,100.462,102.578,105.434,110.753,107.44,111.048,113.818,123.803,128.727,129.961,129.181,127.806,130.522,126.634,125.996,125.72,123.346,112.885,111.856,114.168,109.555,100,99.756,97.096,94.139,93.883,97.037,96.054,96.668,94.197
Support activities for mining,213,43.485,46.097,43.643,43.407,44.24,46.334,54.762,54.304,52.36,51.176,55.674,55.423,58.515,69.224,85.599,77.704,81.613,84.947,89.248,102.326,103.927,107.201,94.05,96.941,102.602,100,96.562,97.675,85.562,76.985,85.347,97.359,95.595,82.081
Utilities,22,100.277,96.567,100.213,102.079,99.014,98.808,97.142,97.66,97.738,97.727,94.883,92.611,100.251,100.744,92.594,93.935,93.301,96.166,93.269,95.807,95.332,96.591,92.435,98.487,100.008,100,98.045,94.457,93.161,94.979,94.861,93.47,93.34,94.658
Construction,23,123.597,122.786,122.353,121.294,120.844,122.318,120.784,121.014,120.001,119.316,116.916,116.61,114.931,115.169,112.962,111.59,111.449,110.983,108.867,104.799,103.13,100.52,100.481,100.191,100.314,100,99.144,98.368,98.037,98.042,98.254,97.424,96.17,96.079
Wood products,321,99.86,100.099,99.385,99.618,98.124,93.892,88.107,88.018,90.198,89.043,87.25,86.859,85.892,86.489,87.186,88.625,89.015,87.805,89.611,89.587,92.21,92.935,94.318,96.512,100.097,100,99.5,96.276,98.394,99.264,99.523,96.951,98.232,97.947
Nonmetallic mineral products,327,95.749,97.106,97.799,96.839,93.807,98.652,97.492,99.42,99.634,97.749,102.18,101.312,101.16,99.733,98.828,99.349,102.046,103.339,104.478,100.145,100.193,98.935,94.714,96.455,98.97,100,102.583,102.633,102.534,101.046,103.566,102.583,102.921,103.552
Primary metals,331,85.787,84.943,85.098,85.385,86.625,88.681,89.513,88.496,85.662,86.826,87.078,89.153,91.081,91.269,91.927,95.226,95.842,98.621,96.091,93.739,93.894,95.173,96.031,95.759,96.97,100,101.434,100.752,103.441,105.884,103.017,102.721,105.027,110.424
Fabricated metal products,332,97.466,98.243,97.133,96.65,94.776,96.234,96.667,100.292,101.036,101.493,100.861,98.931,99.093,100.943,98.018,98.135,101.281,102.229,102.659,103.418,104.601,103.11,96.4,99.668,100.722,100,98.587,98.644,97.105,96.098,98.493,98.636,98.042,94.146
Machinery,333,95.264,99.538,100.589,99.19,94.483,94.058,91.77,91.633,92.027,89.771,88.717,90.659,88.694,89.194,87.683,88.294,90.021,92.816,95.238,97.227,98.469,98.585,94.453,98.131,101.472,100,99.53,98.351,94.785,91.877,94.695,96.169,95.036,92.843
Computer and electronic products,334,19.052,19.893,20.506,21.283,22.086,23.226,24.081,25.944,29.036,31.952,34.808,37.759,41.013,47.347,47.14,50.601,58.026,62.762,67.247,73.535,79.899,85.258,88.565,96.655,98.258,100,102.767,106.855,112.954,115.279,118.173,127.187,128.46,129.209
"Electrical equipment, appliances, and components",335,91.123,91.422,93.838,93.409,92.762,93.902,94.265,96.047,94.944,93.454,94.97,88.567,91.768,93.391,93.574,95.932,99.945,98.148,99.615,105.516,102.344,105.228,100.825,102.012,100.886,100,103.253,100.625,106.349,102.112,102.936,103.855,102.15,100.988
"Motor vehicles, bodies and trailers, and parts",3361MV,86.96,88.768,87.843,84.425,83.264,85.336,86.602,87.517,87.407,86.384,86.741,88.879,88.735,89.123,88.495,91.8,94.606,94.831,96.599,99.207,98.885,95.287,85.538,95.676,100.032,100,99.992,99.711,98.557,98.655,99.087,99.165,99.35,100.117
Other transportation equipment,3364OT,103.511,100.776,98.053,98.448,104.024,98.475,97.241,90.649,90.783,94.359,91.056,90.907,93.144,90.855,92.886,92.248,92.571,92.009,96.043,95.652,100.51,98.974,97.738,100.57,101.994,100,100.87,101.486,103.715,102.374,102.781,103.136,102.804,91.731
Furniture and related products,337,104.143,103.298,103.705,101.836,100.766,102.98,104.083,102.338,102.726,104.799,105.842,104.83,104.979,105.518,102.312,102.301,102.749,105.217,107.567,109.561,107.386,104.443,98.41,101.578,101.469,100,101.316,102.597,105.297,104.678,104.142,105.478,104.83,102.921
Miscellaneous manufacturing,339,73.287,79.654,78.383,80.285,79.323,78.869,77.31,77.599,78.869,82.414,84.284,85.561,86.936,88.295,86.433,89.029,90.674,91.414,93.813,96.147,97.312,98.831,101.547,104.258,102.431,100,97.715,98.421,94.971,96.336,100.155,102.244,99.592,101.827
Food and beverage and tobacco products,311FT,105.611,107.055,104.696,104.379,104.589,104.853,104.417,105.708,108.65,103.486,103.088,102.666,102.912,102.4,102.86,100.97,102.328,102.808,102.813,105.412,105.289,103.501,104.127,102.152,101.173,100,99.977,99.961,100.281,98.495,99.281,99.262,99.57,98.377
Textile mills and textile product mills,313TT,86.849,88.009,88.884,89.709,90.352,93.117,93.336,93.549,92.709,92.976,93.234,93.484,95.532,97.967,96.956,97.529,95.441,102.696,102.268,102.444,103.526,103.888,99.967,100.588,97.831,100,102.196,104.293,102.807,103.796,103.267,101.167,101.503,99.816
Apparel and leather and allied products,315AL,88.556,89.427,89.537,90.145,90.793,91.744,91.181,92.483,92.957,93.756,94.173,92.954,93.29,96.236,95.699,96.533,96.123,98.71,98.49,98.03,95.789,100.117,96.091,101.365,103.16,100,100.662,100.652,95.179,98.742,100.467,101.165,101.437,108.848
Paper products,322,101.25,101.506,99.486,98.767,99.951,100.479,102.386,102.322,96.104,98.842,99.933,97.496,99.488,98.398,95.294,97.536,98.733,101.603,100.986,103.677,102.079,99.167,102.932,100.288,99.618,100,99.861,100.091,100.544,99.768,97.434,98.835,99.684,101.351
Printing and related support activities,323,84.425,84.941,85.27,84.58,83.865,85.108,81.613,81.039,81.172,80.263,79.364,79.747,80.525,82.515,84.236,87.994,89.632,90.99,92.045,93.362,94.934,96.341,93.443,95.761,99.168,100,100.866,100.616,99.549,101.031,100.796,103.374,102.351,103.752
Petroleum and coal products,324,90.931,92.786,92.856,89.007,88.341,90.619,95.345,93.869,91.709,94.258,99.766,103.349,101.99,102.315,107.534,103.087,112.694,117.915,116.904,112.048,111.974,112.346,110.743,106.414,102.324,100,101.298,102.609,102.716,98.317,101.454,103.213,105.346,106.416
Chemical products,325,112.747,109.586,109.105,110.677,109.705,110.693,110.131,112.991,108.833,108.309,108.694,105.288,107.133,107.13,105.986,107.799,107.562,109.944,107.643,111.117,112.322,107.133,105.27,106.833,103.131,100,100.169,99.157,96.737,97.358,95.588,94.778,94.935,94.677
Plastics and rubber products,326,87.464,87.17,88.787,88.218,89.428,90.49,91.16,91.762,89.797,91.55,92.83,92.814,95.235,97.5,96.26,96.557,98.802,101.449,101.275,99.222,99.743,96.172,99.155,100.643,99.588,100,98.952,98.121,100.418,100.169,99.677,100.584,100.255,99.964
Wholesale trade,42,74.452,74.506,76.829,76.073,79.808,82.667,85.47,86.293,83.08,88.946,92.667,94.486,95.072,95.661,94.37,95.79,99.263,100.672,101.768,99.643,100.542,100.853,94.868,99.053,98.82,100,100.012,101.119,101.72,99.056,98.74,98.739,96.967,97.16
Retail trade,44RT,82.707,85.697,86.114,85.67,85.726,87.103,88.567,90.273,91.731,94.942,97.506,103.495,102.972,103.266,104.783,106.487,108.415,107.596,108.11,107.712,104.895,101.924,101.494,101.976,100.935,100,101.534,101.574,102.524,103.742,104.81,106.078,107.761,106.729
Air transportation,481,81.647,84.516,84.609,86.348,84.451,88.931,86.722,92.31,93.895,95.57,96.182,90.867,89.979,81.255,68.506,70.442,75.097,81.944,84.702,90.62,94.754,94.481,95.112,100.577,101.043,100,102.925,103.581,104.882,108.116,111.728,112.274,112.064,81.474
Rail transportation,482,66.373,69.808,67.806,70.403,78.079,80.492,80.985,83.469,84.32,85.754,83.576,87.09,89.881,93.537,96.335,93.815,98.363,99.913,99.407,102.392,100.738,102.36,98.348,101.032,99.436,100,99.189,100.428,100.14,98.543,99.846,100.793,96.783,92.258
Water transportation,483,74.392,74.553,76.681,79.506,80.301,82.136,84.309,84.922,83.707,84.46,85.52,82.778,77.925,78.516,78.639,71.663,71.203,73.748,75.754,85.677,92.053,96.18,103.872,97.404,99.88,100,106.778,102.257,96.091,91.549,88.424,89.488,89.063,90.966
Truck transportation,484,89.72,91.082,93.135,93.376,97.192,100.072,100.925,102.157,100.198,100.276,102.333,101.772,101.781,103.175,101.689,99.932,101.962,100.434,99.469,99.864,99.522,97.094,96.983,100.641,101.25,100,99.015,98.468,96.859,95.971,97.907,96.306,94.662,93.973
Transit and ground passenger transportation,485,93.918,90.121,92.074,93.967,90.702,88.749,88.918,89.972,92.147,91.36,94.236,94.539,97.707,100.303,97.567,95.253,98.501,100.3,98.395,98.252,97.813,98.031,95.278,93.328,93.971,100,100.438,102.382,98.959,94.53,95.511,96.425,101.046,99.346
Pipeline transportation,486,71.477,71.306,73.055,74.14,75.25,75.78,74.02,72.944,75.424,73.144,72.672,86.044,89.752,85.469,116.262,86.355,86.715,87.046,83.214,81.591,83.685,88.099,81.035,91.222,91.498,100,95.88,97.191,107.805,105.253,103.696,105.562,93.761,86.066
Other transportation and support activities,487OS,124.444,121.879,119.659,114.994,121.176,124.542,121.509,112.508,103.994,103.356,104.311,106.826,102.672,107.355,107.213,110.845,114.155,116.602,120.057,120.672,111.683,112.7,109.431,107.082,103.707,100,95.939,93.965,92.972,92.643,92.232,92.084,89.369,86.367
Warehousing and storage,493,63.533,66.53,66.768,64.882,69.67,73.406,76.6,77.545,77.317,78.326,84.023,92.407,83.576,85.988,83.286,83.541,86.494,93.284,100.317,99.524,93.304,94.644,94.055,95.7,96.561,100,99.542,100.049,98.48,96.61,96.361,95.571,97.655,94.293
"Publishing industries, except internet (includes software)",511,77.381,77.595,79.617,77.408,77.084,79.098,78.746,81.307,81.164,86.436,89.228,91.112,98.817,86.588,84.876,90.514,92.688,96.476,98.554,93.737,101.467,99.183,96.516,99.989,99.755,100,101.996,102.611,103.028,107.684,113.72,119.912,124.509,128.651
Motion picture and sound recording industries,512,102.342,97.345,100.406,91.185,88.561,86.854,87.413,81.8,79.858,77.389,74.147,79.561,86.132,79.519,85.869,89.399,87.226,89.6,84.625,88.234,93.859,96.592,102.523,107.754,104.112,100,101.988,99.909,102.345,104.165,100.671,94.328,96.198,97.453
Broadcasting and telecommunications,513,92.695,92.962,93.937,95.093,94.339,95.94,96.867,96.864,95.796,94.583,88.769,89.161,88.87,88.433,86.689,87.243,88.942,93.254,99.627,100.87,105.09,107.493,103.559,103.44,100.967,100,102.558,99.886,104.689,106.665,106.429,107.422,107.405,105.222
"Data processing, internet publishing, and other information services",514,90.111,86.781,86.524,87.373,85.669,86.333,86.742,88.443,86.535,87.564,83.303,83.159,66.303,58.046,71.298,95.061,95.091,106.75,99.626,106.471,90.548,101.912,104.405,109.191,111.28,100,105.999,105.446,105.153,106.876,103.544,104.558,106.25,106.346
"Federal Reserve banks, credit intermediation, and related activities",521CI,114.728,110.023,108.807,108.452,108.32,105.305,103.183,99.107,94.705,92.025,88.282,91.914,98.207,95.984,92.526,96.141,91.485,86.041,86.937,83.401,78.911,82.027,94.686,91.475,96.827,100,93.926,94.384,91.83,87.285,82.178,78.847,77.485,79.4
"Securities, commodity contracts, and investments",523,51.407,53.118,53.581,50.684,53.28,56.164,62.064,64.881,71.439,83.942,93.162,89.074,87.926,92.14,111.29,104.085,99.413,99.837,105.797,108.546,97.431,77.978,103.261,101.491,91.258,100,99.651,90.113,88.093,93.814,95.077,92.819,94.508,92.612
Insurance carriers and related activities,524,100.105,103.445,102.026,100.488,101.967,104.236,98.195,98.168,97.759,96.547,98.73,100.685,96.924,103.29,96.787,91.024,92.452,96.914,99.379,101.521,106.421,98.058,98.918,98.55,99.067,100,96.003,105.074,108.85,108.601,106.233,106.652,106.384,104.715
"Funds, trusts, and other financial vehicles",525,129.977,126.303,130.17,142.853,133.044,133.314,130.655,119.301,119.791,114.021,101.954,107.266,109.399,101.871,101.896,101.479,101.197,102.668,105.058,102.391,105.276,103.502,98.086,108.562,103.493,100,102.077,109.381,104.627,100.287,105.928,108.24,103.934,103.834
Real estate,531,91.752,91.241,90.908,90.148,89.542,91.521,91.715,92.291,92.735,92.119,92.992,91.113,91.708,91.825,93.043,92.344,91.748,91.699,93,90.944,93.575,95.211,94.07,97.392,99.135,100,101.101,100.88,99.299,98.525,98.587,99.312,99.451,98.466
Rental and leasing services and lessors of intangible assets,532RL,198.665,204.531,199.989,202.546,191.453,193.198,189.429,180.337,165.325,156.349,142.952,139.471,133.311,121.769,123.35,118.539,114.81,109.308,106.068,110.588,104.124,105.89,98.531,99.321,99.515,100,99.674,99.799,102.154,105.171,105.059,106.246,108.726,101.52
Legal services,5411,140.372,148.462,146.959,149.86,142.942,142.887,137.79,131.557,129.33,132.479,125.435,124.686,130.355,128.194,127.31,125.61,120.627,121.003,117.683,116.512,119.208,120.543,109.141,104.223,100.627,100,95.848,94.694,97.694,97.654,98.478,95.935,98.94,95.126
Computer systems design and related services,5415,66.664,66.342,66.711,65.788,67.049,66.623,62.704,62.637,58.962,59.879,62.983,63.153,63.111,61.94,62.28,64.181,68.629,72.666,75.505,77.731,79.898,81.016,83.65,89.447,93.403,100,98.199,99.093,101.522,104.574,110.11,116.52,116.94,116.584
"Miscellaneous professional, scientific, and technical services",5412OP,104.402,106.519,107.777,109.629,106.8,108.813,107.801,109.602,106,107.283,106.088,102.922,103.296,101.269,100.835,103.707,101.233,99.744,98.721,98.192,96.767,101.014,97.729,99.749,99.015,100,98.874,100.614,100.95,100.109,100.739,102.089,102.297,101.622
Management of companies and enterprises,55,140.8,128.92,134.101,135.404,127.594,119.298,115.699,115.953,111.486,110.521,115.537,113.036,112.029,110.657,114.568,115.985,116.656,108.682,107.36,105.141,101.413,99.327,92.437,95.75,96.305,100,99.601,101.838,102.276,100.921,104.116,108.806,112.271,110.148
Administrative and support services,561,98.047,95.979,95.768,96.273,94.93,95.371,92.79,92.484,91.821,92.167,93.766,91.271,90.803,90.556,92.131,91.611,94.458,95.958,98.427,97.436,98.844,100.283,99.211,99.521,99.968,100,98.436,98.035,97.654,95.687,97.535,98.997,100.288,99.144
Waste management and remediation services,562,104.008,104.17,103.022,102.026,99.867,101.218,100.304,101.538,99.867,98.92,99.365,99.88,102.279,102.112,102.045,102.737,103.866,101.546,102.803,98.887,100.485,100.466,100.929,111.006,100.802,100,97.829,98.221,99.068,95.004,98.888,98.255,95.112,92.738
Educational services,61,95.139,93.776,91.979,91.659,93.151,95.295,96.71,98.417,99.021,101.585,103.542,100.302,100.98,102.64,100.756,97.709,100.027,102.594,99.137,99.772,99.003,100.713,103.977,104.14,102.284,100,97.106,96.869,96.49,96.093,93.851,94.343,94.683,90.55
Ambulatory health care services,621,105.938,108.019,104.454,103.955,103.114,99.682,96.818,96.769,94.805,95.566,94.468,93.335,95.59,100.141,100.485,100.377,97.57,100.411,101.951,101.674,99.985,103.588,102.911,102.369,101.981,100,99.939,100.7,102.07,102.929,103.819,103.83,105.447,99.929
Hospitals and nursing and residential care facilities,622HO,107.268,107.982,106.057,104.193,102.603,100.253,98.965,98.977,98.752,99.355,99.887,97.751,98.889,100.274,99.466,99.86,99.695,100.538,99.952,100.32,99.286,101.315,103.287,102.301,101.033,100,99.037,99.244,99.218,98.13,97.962,97.251,96.73,94.375
Social assistance,624,120.227,119.682,121.037,119.945,115.554,110.429,109.318,104.593,102.476,101.516,105.303,103.924,105.468,107.791,107.193,105.124,107.701,105.686,105.462,103.658,102.346,102.563,101.742,101.382,99.083,100,100.154,100.615,98.596,97.689,97.621,97.261,97.419,92.807
"Performing arts, spectator sports, museums, and related activities",711AS,73.571,71.956,68.963,74.481,72.193,74.977,74.602,76.677,78.007,77.322,75.587,80.715,79.349,81.82,87.096,87.421,87.911,87.164,85.329,87.069,86.455,87.961,92.121,93.185,95.938,100,98.572,100.09,95.97,96.897,100.421,100.524,103.845,86.642
"Amusements, gambling, and recreation industries",713,99.029,102.004,105.245,110.64,105.324,115.764,105.927,104.136,105.027,105.46,109.883,103.767,103.144,106.428,97.75,96.716,95.608,97.878,98.173,98.409,100.71,99.252,97.236,101.676,100.762,100,99.567,99.587,99.099,98.385,98.496,98.907,98.988,91.155
Accommodation,721,97.207,96.806,95.368,94.664,94.021,97.399,97.503,98.85,100.845,102.914,103.687,103.771,103.987,105.265,102.423,103.801,103.499,107.502,104.627,104.979,102.395,97.435,91.845,94.624,99.643,100,101.275,100.587,103.185,101.471,101.335,100.093,99.624,87.918
Food services and drinking places,722,92.71,96.759,95.33,96.056,94.237,93.773,94.484,94.398,94.38,95.26,95.636,97.286,98.361,101.572,102.784,102.231,102.802,103.856,104.247,105.272,103.618,101.182,99.389,100.502,101.07,100,99.138,99.793,100.678,101.342,101.591,101.447,101.471,93.863
"Other services, except government",81,106.942,109.373,111.319,111.859,110.934,113.844,113.314,116.028,116.511,118.225,120.009,119.414,118.899,118.54,111.341,110.047,108.373,109.515,109.723,108.6,106.799,104.122,101.832,100.976,99.039,100,98.841,99.616,99.324,98.594,98.618,98.516,98.254,95.489
Federal,GF,99.926,99.265,99.645,99.784,98.642,98.769,98.702,99.585,98.695,98.927,99.138,99.534,99.439,99.572,99.959,100.031,100.527,101.003,101.717,101.482,101.181,100.859,100.081,99.843,99.943,100,99.979,99.774,99.647,99.795,99.826,100.108,99.973,99.779
State and local,GSL,97.616,97.743,98.354,98.388,98.279,98.414,98.182,98.787,98.662,98.61,98.786,99.006,99.082,99.031,99.435,99.631,99.91,99.967,100.303,100.512,100.459,100.098,99.645,99.613,99.567,100,100.054,99.843,99.937,100.098,100.068,100.457,100.215,100.259