Occupation,Job Zone,Active_Learning_Importance,Active_Learning_Level,Critical_Thinking_Importance,Critical_Thinking_Level,Learning_Strategies_Importance,Learning_Strategies_Level,Monitoring_Importance,Monitoring_Level,Active_Listening_Importance,Active_Listening_Level,Mathematics_Importance,Mathematics_Level,Programming_Importance,Programming_Level,Reading_Comprehension_Importance,Reading_Comprehension_Level,Science_Importance,Science_Level,Speaking_Importance,Speaking_Level,Writing_Importance,Writing_Level
"Judges, Magistrate Judges, and Magistrates",5,75,66,97,82,44,41,72,59,100,84,28,30,6,Not relevant,81,68,19,20,78,70,78,70
Marriage and Family Therapists,5,69,61,72,61,53,54,66,57,97,71,22,25,6,Not relevant,75,61,38,41,81,61,75,61
"Child, Family, and School Social Workers",4,60,54,78,61,53,45,72,55,97,68,25,27,10,7,75,59,31,29,88,59,69,59
Mental Health Counselors,5,63,59,69,64,56,55,72,57,94,70,25,30,16,9,78,66,47,50,81,61,75,61
Psychiatrists,5,75,63,81,66,69,57,75,59,91,71,38,34,13,9,78,71,72,59,81,63,78,63
Clinical and Counseling Psychologists,5,75,58,78,58,56,54,69,57,91,68,28,27,6,Not relevant,74,68,61,50,86,63,75,59
Lawyers,5,72,61,81,70,50,45,66,54,91,68,28,30,13,11,85,70,16,13,91,70,75,70
Labor Relations Specialists,4,63,55,72,57,56,48,63,54,88,61,41,39,10,7,81,59,0,Not relevant,85,64,78,61
Farm and Home Management Educators,5,72,64,69,59,72,61,60,57,88,59,47,52,19,21,75,64,44,41,78,59,72,59
"Arbitrators, Mediators, and Conciliators",5,69,57,75,68,50,43,47,50,85,70,25,29,13,7,75,61,16,9,78,68,78,63
Clergy,5,72,59,69,59,69,61,60,59,85,64,35,36,13,7,78,68,16,13,91,68,78,63
"Education Administrators, Kindergarten through Secondary",5,72,59,81,63,81,66,75,68,85,64,53,46,19,11,81,66,19,20,85,63,78,63
School Psychologists,5,66,55,75,59,63,55,75,57,85,64,44,34,19,11,81,68,25,25,81,61,75,59
Allergists and Immunologists,5,75,66,81,61,63,52,81,61,85,63,47,43,10,Not available,88,66,66,Not available,85,59,78,59
"Educational, Guidance, and Career Counselors and Advisors",5,72,55,75,57,69,52,69,54,85,59,28,30,19,14,78,61,16,9,81,57,75,57
Sports Medicine Physicians,5,72,63,81,64,66,55,78,55,85,59,38,41,22,18,88,66,56,Not available,75,61,69,55
Air Traffic Controllers,3,69,54,78,59,53,48,75,61,85,57,47,43,19,11,69,57,19,21,81,55,53,45
"Administrative Law Judges, Adjudicators, and Hearing Officers",5,69,59,81,73,50,41,66,57,81,79,28,34,13,7,81,68,16,11,75,68,78,70
Family Medicine Physicians,5,75,57,85,64,56,46,75,57,81,70,44,41,6,Not relevant,81,71,72,57,78,63,78,59
"Law Teachers, Postsecondary",5,75,68,75,70,81,64,60,54,81,70,25,32,19,11,81,73,16,11,91,71,75,71
Equal Opportunity Representatives and Officers,4,69,57,75,64,50,48,60,55,81,66,38,39,22,21,78,68,16,11,75,61,72,63
Industrial-Organizational Psychologists,5,66,59,75,61,60,57,72,59,81,66,56,57,44,48,81,68,69,54,78,66,75,68
Neurologists,5,69,66,78,70,60,61,75,66,81,64,47,46,19,13,78,79,69,59,78,63,75,63
"Ophthalmologists, Except Pediatric",5,66,63,85,70,56,55,69,61,81,64,47,50,16,13,78,79,69,59,78,63,69,61
Urologists,5,63,55,78,59,50,48,69,57,81,64,38,36,13,14,81,70,72,57,69,57,81,59
Substance Abuse and Behavioral Disorder Counselors,5,69,57,78,59,56,54,75,57,81,63,25,29,19,14,75,61,25,20,81,61,75,57
Advanced Practice Psychiatric Nurses,5,72,57,75,57,69,52,69,55,81,61,38,36,13,7,75,61,44,39,75,57,72,57
Judicial Law Clerks,5,69,59,81,66,50,43,50,46,81,61,22,25,13,9,88,70,0,Not relevant,75,61,78,63
Public Safety Telecommunicators,2,56,43,69,55,44,43,60,45,81,59,31,27,19,13,66,52,13,9,81,59,53,46
Speech-Language Pathology Assistants,3,50,39,60,50,53,45,60,50,81,57,31,34,10,5,66,54,19,20,63,54,53,48
Chief Executives,5,75,68,85,68,53,55,78,79,78,70,56,52,16,9,78,68,22,16,85,70,75,63
Nurse Practitioners,5,75,59,78,59,63,55,75,59,78,70,50,45,10,7,78,70,69,55,75,57,75,57
"Criminal Justice and Law Enforcement Teachers, Postsecondary",5,75,57,78,59,75,57,72,57,78,68,25,29,10,7,75,70,19,21,94,70,75,64
Obstetricians and Gynecologists,5,75,59,85,64,60,54,72,57,78,68,38,41,6,Not relevant,78,75,75,64,78,57,75,59
"Education Teachers, Postsecondary",5,75,61,69,57,78,64,72,57,78,66,28,32,13,7,81,70,25,29,91,70,75,70
Hospitalists,5,78,70,78,68,56,57,75,63,78,66,50,43,13,7,78,73,60,50,78,63,72,63
Audiologists,5,75,63,75,61,60,55,69,59,78,64,47,43,19,14,78,71,50,46,75,63,75,61
Naturopathic Physicians,5,69,55,78,59,60,54,60,57,78,64,44,37,16,11,81,71,53,45,78,59,75,57
Preventive Medicine Physicians,5,78,70,81,71,69,64,72,64,78,64,53,48,22,13,85,79,72,66,75,66,75,68
"Anthropology and Archeology Teachers, Postsecondary",5,75,63,72,61,81,61,72,59,78,63,35,45,13,7,81,71,72,57,88,70,78,71
Biochemists and Biophysicists,5,78,75,81,73,75,63,72,61,78,63,72,68,31,39,85,75,94,73,78,66,81,73
Bioengineers and Biomedical Engineers,4,66,68,81,68,53,59,69,59,78,63,69,66,50,50,78,73,72,66,72,63,69,61
"Pediatricians, General",5,75,59,81,64,56,46,75,57,78,63,35,41,10,7,78,71,75,59,81,59,75,57
"Philosophy and Religion Teachers, Postsecondary",5,69,63,75,61,72,66,56,55,78,63,25,30,19,11,81,70,19,20,78,68,75,71
Urban and Regional Planners,5,56,59,75,61,50,41,50,52,78,63,50,50,19,20,75,63,41,39,78,61,72,59
"Airline Pilots, Copilots, and Flight Engineers",4,69,59,78,59,50,45,78,61,78,61,53,50,13,7,72,59,44,39,69,54,53,46
Anesthesiologists,5,66,59,88,63,56,48,78,63,78,61,50,48,3,Not relevant,75,70,75,55,72,57,75,57
Clinical Nurse Specialists,5,75,63,78,61,63,55,72,59,78,61,47,45,6,Not relevant,78,63,56,54,75,61,72,59
General Internal Medicine Physicians,5,72,57,75,68,53,52,72,57,78,61,47,41,19,13,78,71,75,57,75,59,75,59
Optometrists,5,53,55,78,61,53,45,56,50,78,61,50,43,22,16,78,70,69,55,75,57,75,57
Speech-Language Pathologists,5,66,57,72,57,72,57,69,59,78,61,28,37,19,13,72,64,47,43,72,59,69,61
Veterinarians,5,75,63,72,61,50,43,56,54,78,61,53,45,6,Not relevant,78,70,72,59,72,61,63,59
Advertising and Promotions Managers,4,56,59,75,59,50,46,56,61,78,59,50,46,19,11,69,57,16,9,75,59,69,55
"Communications Teachers, Postsecondary",5,75,61,72,59,75,64,69,55,78,59,28,39,16,9,78,68,25,27,78,70,75,66
First-Line Supervisors of Police and Detectives,3,72,55,75,59,69,55,75,63,78,59,38,37,19,14,72,57,19,16,75,57,66,55
Government Property Inspectors and Investigators,3,63,48,75,59,50,45,60,59,78,59,47,45,19,18,75,61,22,18,75,59,75,57
Intelligence Analysts,4,63,50,75,61,50,45,53,50,78,59,47,45,25,29,78,68,25,25,75,59,75,57
Management Analysts,5,60,54,78,59,50,50,72,57,78,59,50,46,19,13,78,59,25,27,75,57,75,57
Medical Transcriptionists,3,47,41,50,45,28,30,53,41,78,59,19,14,10,7,75,57,13,9,50,45,72,52
Nurse Midwives,5,75,59,78,63,56,48,75,59,78,59,41,37,16,9,75,59,47,46,78,59,72,57
Private Detectives and Investigators,3,60,48,72,59,38,30,60,50,78,59,31,30,19,14,72,57,13,9,75,55,66,52
Radiologists,5,66,57,78,64,60,54,72,59,78,59,44,41,16,14,78,71,63,50,75,57,81,63
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,63,54,60,54,44,43,53,45,78,59,47,41,25,14,69,59,13,9,81,57,60,52
Training and Development Specialists,4,66,54,72,57,81,70,75,61,78,59,41,37,10,5,75,61,22,29,78,61,72,61
Detectives and Criminal Investigators,3,61,53,78,59,49,43,56,46,78,58,35,31,17,12,74,56,36,33,77,57,69,54
Community Health Workers,4,66,52,69,54,60,54,60,54,78,57,31,30,13,11,72,57,6,Not relevant,78,57,75,55
"Eligibility Interviewers, Government Programs",3,50,43,69,54,44,34,50,45,78,57,25,25,10,7,72,57,10,5,88,57,69,52
Health Education Specialists,4,72,52,69,57,75,59,56,54,78,57,28,32,10,7,69,57,38,39,78,61,78,57
Human Resources Managers,4,69,57,69,59,56,54,66,59,78,57,41,43,19,20,75,59,16,14,78,57,72,57
Hydroelectric Production Managers,3,66,52,69,57,66,54,72,54,78,57,56,50,28,20,72,59,56,46,78,59,63,55
Loan Interviewers and Clerks,3,60,50,69,57,41,39,50,43,78,57,53,45,19,16,72,57,3,Not relevant,75,57,66,55
Lodging Managers,4,69,55,69,55,60,52,69,54,78,57,41,41,16,13,72,55,0,Not relevant,75,57,72,57
Mental Health and Substance Abuse Social Workers,5,56,55,75,57,69,55,75,57,78,57,25,29,22,14,75,59,41,39,78,57,69,57
Music Therapists,4,56,54,75,57,69,54,69,57,78,57,25,23,10,5,75,57,19,13,75,55,56,54
"News Analysts, Reporters, and Journalists",4,63,54,70,58,34,34,61,49,78,57,20,19,16,11,78,62,2,Not relevant,78,66,78,63
Occupational Therapists,5,72,55,75,57,72,55,78,57,78,57,25,29,19,14,75,57,44,39,75,57,75,57
Patient Representatives,3,56,50,66,54,44,43,53,43,78,57,25,29,19,13,72,55,22,18,72,57,56,54
Public Relations Specialists,4,56,52,72,57,41,43,53,46,78,57,28,27,10,7,72,57,10,Not relevant,78,59,75,55
Travel Agents,3,53,45,53,54,38,32,50,41,78,57,47,36,19,11,75,54,6,Not relevant,75,45,53,43
Tutors,4,66,50,66,52,78,55,63,52,78,55,41,34,10,11,72,52,16,Not available,72,52,60,52
"Credit Authorizers, Checkers, and Clerks",2,53,43,64,50,34,32,52,43,78,54,31,Not available,5,Not relevant,66,52,3,Not relevant,72,51,61,49
Anthropologists and Archeologists,5,74,60,75,62,58,55,53,54,77,61,50,46,19,19,80,70,72,62,77,65,81,71
"Psychology Teachers, Postsecondary",5,72,66,72,61,81,71,63,55,75,70,50,46,22,14,78,71,60,59,78,71,75,71
"Forestry and Conservation Science Teachers, Postsecondary",5,75,61,72,61,78,59,72,55,75,68,50,45,22,16,78,71,56,48,75,68,78,70
Healthcare Social Workers,5,69,57,75,57,53,52,56,55,75,68,25,29,16,11,75,61,41,37,78,61,72,59
Natural Sciences Managers,5,63,68,75,63,63,55,75,59,75,68,53,57,22,23,75,71,78,70,72,61,72,71
Physicists,5,75,79,78,70,72,71,56,57,75,68,81,79,60,55,81,84,91,82,78,68,75,71
"Agricultural Sciences Teachers, Postsecondary",5,75,64,75,59,78,66,72,61,75,66,50,46,19,13,78,71,63,52,78,71,75,71
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5,72,61,75,61,72,61,66,59,75,66,60,57,22,14,75,73,75,59,94,68,75,68
"Foreign Language and Literature Teachers, Postsecondary",5,72,57,69,55,75,57,66,55,75,66,25,23,19,13,75,70,19,20,78,68,75,68
"Health Specialties Teachers, Postsecondary",5,75,57,75,59,75,59,66,55,75,66,50,43,10,7,78,71,56,50,78,70,75,71
"Library Science Teachers, Postsecondary",5,75,63,75,59,75,63,75,59,75,66,31,32,19,11,78,71,28,30,78,68,75,68
Molecular and Cellular Biologists,5,72,66,78,70,72,64,69,63,75,66,69,63,28,36,85,80,94,71,75,68,81,71
"Nursing Instructors and Teachers, Postsecondary",5,72,57,72,61,78,61,72,59,75,66,47,41,22,16,75,71,47,39,78,68,75,70
"Physics Teachers, Postsecondary",5,75,63,75,70,75,63,66,57,75,66,66,57,22,16,78,71,78,66,78,71,75,71
Podiatrists,5,69,68,75,61,53,52,63,52,75,66,44,43,16,11,75,77,66,54,75,61,66,55
Sociologists,5,72,59,72,61,69,57,66,55,75,66,38,48,13,11,78,70,60,52,72,64,75,68
Epidemiologists,5,78,66,81,68,63,52,69,59,75,64,63,57,16,11,81,71,85,75,78,61,75,63
Physical Medicine and Rehabilitation Physicians,5,66,61,78,66,53,57,69,63,75,64,47,48,19,13,75,71,56,57,75,61,69,57
Political Scientists,5,69,55,75,64,56,48,50,52,75,64,44,45,10,9,78,68,47,46,78,64,72,63
"Architecture Teachers, Postsecondary",5,72,64,72,63,78,63,69,59,75,63,47,54,22,14,78,71,35,37,78,70,75,71
Bioinformatics Scientists,5,66,61,78,63,50,52,60,59,75,63,63,59,28,Not available,78,70,69,Not available,75,61,72,68
"Biological Science Teachers, Postsecondary",5,75,64,72,59,78,63,72,55,75,63,53,46,13,7,75,73,75,57,81,68,75,68
Instructional Coordinators,5,72,59,72,59,81,68,75,61,75,63,44,41,16,9,75,66,13,9,78,63,78,64
Nuclear Engineers,4,66,59,75,68,50,46,75,57,75,63,72,61,19,16,75,68,78,63,72,57,72,66
"Physicians, Pathologists",5,75,68,78,66,53,54,63,57,75,63,50,45,22,25,81,80,75,57,72,66,78,71
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",5,75,57,72,59,75,57,53,55,75,61,25,30,19,14,81,70,38,39,78,68,75,70
Atmospheric and Space Scientists,4,72,57,75,59,56,46,53,52,75,61,50,55,25,20,78,70,75,70,75,59,75,57
"Education Administrators, Postsecondary",5,72,57,78,61,69,57,75,61,75,61,47,45,10,7,78,66,13,7,75,61,75,61
"English Language and Literature Teachers, Postsecondary",5,72,57,69,57,75,71,66,57,75,61,25,27,10,9,94,71,19,13,78,68,81,70
Environmental Economists,5,72,57,75,61,56,54,63,54,75,61,75,68,22,25,75,68,35,37,63,59,78,63
"Environmental Science Teachers, Postsecondary",5,72,61,75,61,75,61,72,57,75,61,50,46,10,5,78,71,75,64,78,64,75,68
"Family and Consumer Sciences Teachers, Postsecondary",5,66,59,69,57,75,61,63,57,75,61,41,41,19,11,75,66,31,32,78,68,66,59
Health Informatics Specialists,4,69,68,72,61,72,55,69,57,75,61,47,41,44,45,81,70,28,27,75,59,75,57
Interpreters and Translators,4,53,43,66,55,50,45,66,54,75,61,25,18,3,Not relevant,72,57,3,Not relevant,78,57,69,57
"Medical Scientists, Except Epidemiologists",5,78,71,75,68,60,55,66,59,75,61,66,59,25,23,75,75,78,71,78,63,81,70
Microsystems Engineers,5,63,55,75,59,56,48,66,54,75,61,60,55,41,36,75,68,66,55,66,57,69,57
Orthotists and Prosthetists,5,69,61,75,59,50,50,56,52,75,61,50,45,16,11,78,63,44,46,75,59,75,59
Pharmacists,5,66,55,72,63,50,50,72,61,75,61,60,48,16,11,78,70,69,54,72,59,72,57
Registered Nurses,4,63,59,75,59,56,52,69,57,75,61,47,45,16,9,72,61,47,41,75,61,69,55
Actuaries,4,60,59,81,68,50,50,53,52,75,59,81,70,38,39,78,66,28,29,72,57,60,57
Adapted Physical Education Specialists,5,75,55,72,55,72,57,72,55,75,59,25,29,6,Not relevant,72,57,13,13,75,57,72,55
"Art, Drama, and Music Teachers, Postsecondary",5,75,61,66,55,78,61,69,55,75,59,25,30,10,5,75,66,19,16,91,68,72,59
Astronomers,5,75,68,78,61,63,54,60,55,75,59,75,71,31,30,81,73,81,71,72,70,75,71
Biologists,5,72,66,75,64,53,52,60,54,75,59,69,61,44,52,75,71,91,71,75,64,75,70
"Business Teachers, Postsecondary",5,72,63,72,63,75,68,66,57,75,59,50,46,22,18,75,71,22,20,81,70,75,71
"Career/Technical Education Teachers, Secondary School",4,66,54,72,55,72,57,72,57,75,59,47,45,19,14,75,59,19,13,75,59,72,55
Chiropractors,5,60,55,72,59,47,45,53,48,75,59,35,36,13,7,72,64,60,54,72,55,69,55
Compensation and Benefits Managers,4,69,54,72,57,50,43,63,48,75,59,47,41,13,9,75,57,3,Not relevant,75,57,69,57
Dermatologists,5,69,55,78,61,53,46,63,55,75,59,31,36,22,16,72,70,66,54,72,57,63,57
"Economics Teachers, Postsecondary",5,69,59,72,59,72,57,50,52,75,59,56,54,22,20,75,63,35,41,78,61,75,59
"Engineering Teachers, Postsecondary",5,66,59,72,59,78,61,60,59,75,59,72,64,25,23,75,70,63,52,78,70,72,68
Environmental Engineers,4,69,59,75,61,53,45,72,61,75,59,60,57,19,16,75,66,53,52,72,61,75,59
"Environmental Scientists and Specialists, Including Health",4,66,57,75,59,50,55,63,59,75,59,60,59,25,37,75,71,72,66,72,63,72,64
Financial Examiners,4,66,59,78,64,60,55,72,61,75,59,66,55,16,14,78,61,6,Not relevant,75,59,75,57
"Fraud Examiners, Investigators and Analysts",4,72,50,75,59,50,43,60,45,75,59,47,43,19,14,75,61,6,Not relevant,75,57,78,59
Fundraisers,4,56,50,72,57,47,43,53,50,75,59,50,43,13,7,75,57,10,5,78,63,75,59
"History Teachers, Postsecondary",5,72,57,72,55,78,61,66,57,75,59,25,29,6,Not relevant,81,68,22,25,88,68,78,68
Industrial Engineers,4,56,55,75,59,44,43,60,61,75,59,56,55,22,16,75,64,28,25,72,59,69,59
Investment Fund Managers,5,69,55,75,57,47,45,63,57,75,59,60,52,19,Not available,75,61,0,Not relevant,72,59,66,55
Logistics Engineers,4,69,55,72,61,50,50,56,55,75,59,72,57,41,32,78,63,38,41,69,57,75,59
Materials Engineers,4,56,64,72,61,50,52,53,55,75,59,69,57,22,25,75,68,75,68,69,59,69,63
Materials Scientists,5,72,57,78,59,53,48,60,59,75,59,60,57,22,14,78,70,78,71,72,61,72,61
Orthoptists,5,56,55,75,57,56,55,53,54,75,59,44,43,19,11,66,66,66,54,72,57,63,57
Physical Therapists,5,53,46,75,55,53,45,72,55,75,59,28,37,16,13,75,63,41,39,75,59,72,57
Physician Assistants,5,72,59,78,66,53,48,72,57,75,59,50,43,22,16,78,68,66,55,75,57,75,57
Range Managers,4,56,52,69,57,44,43,66,61,75,59,47,46,13,9,72,59,47,48,69,57,56,57
Rehabilitation Counselors,4,53,46,66,55,53,54,72,59,75,59,25,29,13,7,69,57,31,29,75,57,66,57
"Secondary School Teachers, Except Special and Career/Technical Education",4,66,54,72,55,75,63,72,59,75,59,47,43,19,11,75,59,25,25,78,59,69,55
"Social Work Teachers, Postsecondary",5,75,70,75,61,81,70,69,55,75,59,41,37,19,14,75,70,41,37,91,70,75,68
"Sociology Teachers, Postsecondary",5,66,63,69,59,75,70,69,55,75,59,28,46,13,7,75,70,44,54,91,68,75,68
"Special Education Teachers, Preschool",5,66,54,72,55,69,57,69,57,75,59,31,30,19,14,72,59,25,21,78,61,69,57
Survey Researchers,5,60,57,78,61,50,48,50,52,75,59,63,61,31,32,75,61,44,39,75,59,75,59
Fire Inspectors and Investigators,3,55,52,74,58,49,43,56,49,75,58,42,40,17,13,63,58,50,46,72,56,64,54
Administrative Services Managers,3,53,48,69,55,50,46,60,52,75,57,31,30,10,9,75,57,0,Not relevant,72,55,69,54
"Agents and Business Managers of Artists, Performers, and Athletes",4,63,50,69,54,41,39,47,43,75,57,28,29,13,7,75,57,16,9,75,57,66,55
Agricultural Engineers,4,56,55,78,61,47,45,53,54,75,57,72,57,28,23,75,66,60,48,72,57,72,61
Airfield Operations Specialists,3,56,46,69,55,50,45,75,59,75,57,28,30,10,5,69,57,16,11,69,55,60,46
Architectural and Engineering Managers,5,72,55,72,61,56,45,69,57,75,57,72,61,22,16,78,63,41,39,75,57,75,59
Art Directors,4,60,54,69,57,50,46,56,54,75,57,35,41,16,13,69,55,10,5,75,57,56,57
Art Therapists,5,69,55,72,57,53,55,72,57,75,57,28,30,22,13,72,57,25,25,75,59,66,57
Athletic Trainers,5,69,57,72,59,53,55,72,59,75,57,28,30,6,Not relevant,69,55,35,27,72,57,63,55
Broadcast Announcers and Radio Disc Jockeys,4,56,46,69,55,28,34,56,48,75,57,22,18,6,Not relevant,75,55,0,Not relevant,91,63,56,57
Budget Analysts,4,56,48,69,55,47,39,53,48,75,57,69,50,22,16,72,57,6,Not relevant,69,48,56,54
"Career/Technical Education Teachers, Middle School",4,63,50,72,55,75,57,72,54,75,57,38,34,19,11,75,59,22,20,78,57,66,52
"Career/Technical Education Teachers, Postsecondary",3,72,57,69,54,75,57,66,57,75,57,31,32,13,9,72,55,22,14,72,57,66,57
"Chemistry Teachers, Postsecondary",5,75,57,75,57,75,57,75,57,75,57,56,54,22,16,78,71,75,61,78,71,78,70
Chief Sustainability Officers,5,69,55,78,59,60,54,69,57,75,57,47,45,22,16,75,61,28,27,75,59,78,61
Civil Engineers,4,56,66,72,66,47,52,56,55,75,57,72,68,22,27,72,71,69,57,72,55,56,55
Clinical Research Coordinators,4,60,57,69,57,53,48,66,54,75,57,47,43,16,13,75,61,50,43,72,57,75,57
Coaches and Scouts,4,72,57,75,57,78,57,78,68,75,57,28,29,6,Not relevant,75,57,16,16,85,57,66,57
Commercial and Industrial Designers,4,50,57,69,57,44,41,53,54,75,57,44,50,22,21,72,59,41,39,63,57,53,55
Compliance Officers,3,56,43,66,55,41,39,53,46,75,57,35,32,19,16,72,57,0,Not relevant,72,57,63,54
Computer and Information Systems Managers,4,60,55,78,57,56,50,72,63,75,57,53,45,44,37,75,57,19,20,72,55,69,57
Computer Systems Engineers/Architects,4,69,57,78,55,50,46,63,54,75,57,53,46,60,59,78,61,53,50,69,55,72,57
Computer User Support Specialists,3,53,46,69,57,47,45,50,45,75,57,31,30,28,30,75,57,19,21,75,57,66,45
Critical Care Nurses,4,72,57,75,59,50,52,78,57,75,57,47,41,19,13,75,57,50,45,75,57,60,57
Customs and Border Protection Officers,3,60,45,75,55,41,41,66,54,75,57,31,30,13,7,72,55,22,16,75,57,66,54
Customs Brokers,3,56,52,69,55,53,43,56,52,75,57,50,43,22,20,72,57,0,Not relevant,69,57,69,55
"Dentists, General",5,72,64,78,63,53,54,75,57,75,57,44,43,16,11,75,71,69,54,75,57,56,57
Dietitians and Nutritionists,5,66,59,75,59,69,59,72,59,75,57,50,43,19,14,75,70,56,52,75,59,72,61
Economists,5,72,57,78,64,53,50,53,52,75,57,78,61,25,25,78,68,25,32,75,61,75,61
